probe_set_id,genechip_array,species_scientific_name,annotation_date,sequence_type,sequence_source,transcript_id,target_description,representative_public_id,archival_unigene_cluster,unigene_id,genome_version,alignments,gene_symbol,chromosomal_location,unigene_cluster_type,ensembl,entrez_gene,ec,omim,refseq_protein_id,refseq_transcript_id,flybase,agi,wormbase,mgi_name,rgd_name,sgd_accession_number,qtl,annotation_description,gene_title_des
1552269_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.99214.1,"gb:NM_138796.1 /DB_XREF=gi:20270344 /TID=Hs2.99214.1 /CNT=32 /FEA=FLmRNA /TIER=FL+Stack /STK=14 /LL=128153 /UG_GENE=LOC128153 /UG=Hs.99214 /UG_TITLE=hypothetical protein BC014608 /DEF=Homo sapiens hypothetical protein BC014608 (LOC128153), mRNA. /FL=gb:NM_138796.1 gb:BC014608.1",NM_138796,Hs.99214,Hs.171130,March 2006 (NCBI Build 36.1),chr1:215870814-216107109 (+) // 98.52 // q41,SPATA17,chr1q41,full length,---,128153,---,611032,NP_620151.1,NM_138796,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,spermatogenesis associated 17
1552271_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.214543.1,"gb:NM_153359.1 /DB_XREF=gi:23503298 /TID=Hs2.214543.1 /CNT=20 /FEA=FLmRNA /TIER=FL+Stack /STK=13 /LL=163154 /UG_GENE=MGC24975 /UG=Hs.214543 /UG_TITLE=hypothetical protein MGC24975 /DEF=Homo sapiens hypothetical protein MGC24975 (MGC24975), mRNA. /FL=gb:NM_153359.1 gb:BC023278.1",NM_153359,Hs.214543,Hs.631838,March 2006 (NCBI Build 36.1),chr19:5733970-5735610 (-) // 97.39 // p13.3,MGC24975,chr19p13.3,full length,---,163154,---,---,NP_699190.1,NM_153359,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,hypothetical protein MGC24975
1552272_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.214543.1,"gb:NM_153359.1 /DB_XREF=gi:23503298 /TID=Hs2.214543.1 /CNT=20 /FEA=FLmRNA /TIER=FL+Stack /STK=13 /LL=163154 /UG_GENE=MGC24975 /UG=Hs.214543 /UG_TITLE=hypothetical protein MGC24975 /DEF=Homo sapiens hypothetical protein MGC24975 (MGC24975), mRNA. /FL=gb:NM_153359.1 gb:BC023278.1",NM_153359,Hs.214543,Hs.631838,March 2006 (NCBI Build 36.1),chr19:5733970-5735610 (-) // 97.39 // p13.3,MGC24975,chr19p13.3,full length,---,163154,---,---,NP_699190.1,NM_153359,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,hypothetical protein MGC24975
1552274_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.322934.1,"gb:BC014479.1 /DB_XREF=gi:15680248 /TID=Hs2.322934.1 /CNT=70 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=54899 /UG_GENE=FLJ20335 /UG=Hs.322934 /DEF=Homo sapiens, clone MGC:23156 IMAGE:4856139, mRNA, complete cds. /PROD=Unknown (protein for MGC:23156) /FL=gb:AF399753.1 gb:NM_017771.1 gb:BC014479.1",BC014479,Hs.322934,Hs.190544,March 2006 (NCBI Build 36.1),chr3:58293652-58386367 (+) // 96.39 // p14.3,PXK,chr3p14.3,full length,ENSG00000168297,54899,---,---,NP_060241.2,NM_017771,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 5 transcripts. // false // Matching Probes // A,PX domain containing serine/threonine kinase
1552275_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.322934.1,gb:BG573647 /DB_XREF=gi:13581300 /DB_XREF=602594669F1 /CLONE=IMAGE:4722136 /TID=Hs2.322934.1 /CNT=70 /FEA=FLmRNA /TIER=ConsEnd /STK=0 /LL=54899 /UG_GENE=FLJ20335 /UG=Hs.322934 /UG_TITLE=hypothetical protein FLJ20335 /FL=gb:AF399753.1 gb:NM_017771.1 gb:BC014479.1,BG573647,Hs.322934,Hs.190544,March 2006 (NCBI Build 36.1),chr3:58293652-58386367 (+) // 96.39 // p14.3,PXK,chr3p14.3,full length,---,54899,---,---,NP_060241.2,NM_017771,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,PX domain containing serine/threonine kinase
1552276_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.23876.1,"gb:NM_080432.1 /DB_XREF=gi:17978486 /GEN=VPS18 /TID=Hs2.23876.1 /CNT=51 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=57617 /UG=Hs.23876 /DEF=Homo sapiens vacuolar protein sorting protein 18 (VPS18), transcript variant 2, mRNA. /PROD=vacuolar protein sorting 18 isoform 2 /FL=gb:NM_080432.1 gb:BC001513.1",NM_080432,Hs.23876,Hs.23876,March 2006 (NCBI Build 36.1),chr15:38973944-38983464 (+) // 97.35 // q15.1,VPS18,chr15q14-q15,full length,---,57617,---,608551,NP_065908.1,NM_020857,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,vacuolar protein sorting 18 homolog (S. cerevisiae)
1552277_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.78531.1,"gb:NM_080655.1 /DB_XREF=gi:18087818 /TID=Hs2.78531.1 /CNT=25 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=91283 /UG_GENE=MGC17337 /UG=Hs.78531 /UG_TITLE=similar to RIKEN cDNA 5730528L13 gene /DEF=Homo sapiens similar to RIKEN cDNA 5730528L13 gene (MGC17337), mRNA. /FL=gb:NM_080655.1 gb:BC008993.1",NM_080655,Hs.78531,Hs.530272,March 2006 (NCBI Build 36.1),chr9:102244006-102253332 (+) // 87.97 // q31.1,C9orf30,chr9q31.1,full length,---,91283,---,---,NP_542386.1,NM_080655,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,chromosome 9 open reading frame 30
1552289_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.133898.1,"gb:BC034926.1 /DB_XREF=gi:22028437 /TID=Hs2.133898.1 /CNT=19 /FEA=FLmRNA /TIER=FL+Stack /STK=10 /LL=148113 /UG_GENE=CLIP-2 /UG=Hs.133898 /DEF=Homo sapiens, similar to cartilage intermediate layer protein, clone MGC:45771 IMAGE:4124496, mRNA, complete cds. /PROD=similar to cartilage intermediate layer protein /FL=gb:NM_153221.1 gb:BC034926.1 gb:AF542080.1",BC034926,---,---,March 2006 (NCBI Build 36.1),chr19:19510073-19518466 (+) // 99.31 // p13.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a UCSC Genes identifier using 1 transcripts. // false // Matching Probes // A,---
1552291_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.35406.1,"gb:NM_017861.1 /DB_XREF=gi:23680884 /TID=Hs2.35406.1 /CNT=63 /FEA=FLmRNA /TIER=FL+Stack /STK=9 /LL=54965 /UG_GENE=FLJ20522 /UG=Hs.35406 /UG_TITLE=hypothetical protein FLJ20522 /DEF=Homo sapiens hypothetical protein FLJ20522 (FLJ20522), mRNA. /FL=gb:NM_017861.1 gb:BC022542.1",NM_017861,Hs.35406,Hs.223296,March 2006 (NCBI Build 36.1),chr3:197923625-197946562 (+) // 71.99 // q29,PIGX,chr3q29,full length,ENSG00000163964,54965,---,610276,NP_060331.1,NM_017861,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"phosphatidylinositol glycan anchor biosynthesis, class X"
1552293_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.319173.1,"gb:NM_152774.1 /DB_XREF=gi:22749518 /TID=Hs2.319173.1 /CNT=14 /FEA=FLmRNA /TIER=FL+Stack /STK=9 /LL=256130 /UG_GENE=MGC42090 /UG=Hs.319173 /UG_TITLE=hypothetical protein MGC42090 /DEF=Homo sapiens hypothetical protein MGC42090 (MGC42090), mRNA. /FL=gb:BC030104.1 gb:NM_152774.1",NM_152774,Hs.319173,Hs.487670,March 2006 (NCBI Build 36.1),chr7:19727735-19735586 (-) // 96.68 // p15.3,MGC42090,chr7p15.3,full length,---,256130,---,---,NP_689987.2,NM_152774,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,hypothetical protein MGC42090
1552295_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.9070.1,"gb:NM_152264.1 /DB_XREF=gi:22748628 /TID=Hs2.9070.1 /CNT=16 /FEA=FLmRNA /TIER=FL+Stack /STK=9 /LL=91252 /UG_GENE=FLJ25785 /UG=Hs.9070 /UG_TITLE=hypothetical protein FLJ25785 /DEF=Homo sapiens hypothetical protein FLJ25785 (FLJ25785), mRNA. /FL=gb:NM_152264.1",NM_152264,Hs.9070,Hs.523664,March 2006 (NCBI Build 36.1),chr11:47385402-47542323 (+) // 99.0 // p11.2,SLC39A13,chr11p11.2,full length,---,91252,---,608735,NP_689477.2,NM_152264,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 3 transcripts. // false // Matching Probes // A,"solute carrier family 39 (zinc transporter), member 13"
1552296_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.302513.1,"gb:NM_153274.1 /DB_XREF=gi:23397575 /GEN=VMD2L2 /TID=Hs2.302513.1 /CNT=14 /FEA=FLmRNA /TIER=FL+Stack /STK=9 /LL=266675 /UG=Hs.302513 /DEF=Homo sapiens vitelliform macular dystrophy 2-like protein 2 (VMD2L2), mRNA. /PROD=vitelliform macular dystrophy 2-like protein 2 /FL=gb:NM_153274.1 gb:AF440757.1",NM_153274,Hs.302513,Hs.302513,March 2006 (NCBI Build 36.1),chr1:45021845-45025964 (-) // 90.93 // p34.1,BEST4,chr1p33-p32.3,full length,---,266675,---,607336,NP_695006.1,NM_153274,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,bestrophin 4
1552299_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.124370.1,"gb:NM_145025.1 /DB_XREF=gi:21450758 /TID=Hs2.124370.1 /CNT=17 /FEA=FLmRNA /TIER=FL+Stack /STK=9 /LL=221264 /UG_GENE=MGC26954 /UG=Hs.124370 /UG_TITLE=hypothetical protein MGC26954 /DEF=Homo sapiens hypothetical protein MGC26954 (MGC26954), mRNA. /FL=gb:NM_145025.1 gb:BC022031.1",NM_145025,Hs.124370,Hs.486169,March 2006 (NCBI Build 36.1),chr6:110059601-110119113 (-) // 56.88 // q21,C6orf199,chr6q21,full length,---,221264,---,---,NP_659462.1,NM_145025,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,chromosome 6 open reading frame 199
1552301_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.143046.1,"gb:NM_032854.1 /DB_XREF=gi:14249581 /TID=Hs2.143046.1 /CNT=38 /FEA=FLmRNA /TIER=FL+Stack /STK=8 /LL=84940 /UG_GENE=FLJ14871 /UG=Hs.143046 /UG_TITLE=hypothetical protein FLJ14871 /DEF=Homo sapiens hypothetical protein FLJ14871 (FLJ14871), mRNA. /FL=gb:AF193039.1 gb:NM_032854.1",NM_032854,Hs.143046,Hs.143046,March 2006 (NCBI Build 36.1),chr17:24965912-24973941 (-) // 98.48 // q11.2,CORO6,chr17q11.2,full length,ENSG00000167549,84940,---,---,NP_116243.2,NM_032854,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,coronin 6
1552302_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.29696.1,"gb:NM_145041.1 /DB_XREF=gi:21450795 /TID=Hs2.29696.1 /CNT=48 /FEA=FLmRNA /TIER=FL+Stack /STK=8 /LL=113277 /UG_GENE=MGC20235 /UG=Hs.29696 /UG_TITLE=hypothetical protein MGC20235 /DEF=Homo sapiens hypothetical protein MGC20235 (MGC20235), mRNA. /FL=gb:NM_145041.1 gb:BC012139.1",NM_145041,Hs.29696,Hs.567647,March 2006 (NCBI Build 36.1),chr17_random:481039-489200 (+) // 76.73 // /// chr17:38719419-38727581 (+) // 76.79 // q21.31,LOC728772 /// TMEM106A,chr17q21.31,full length,---,113277 /// 728772,---,---,NP_659478.1 /// XP_001133059.1 /// XP_001133066.1 /// XP_001133074.1,NM_145041 /// XM_001133059 /// XM_001133066 /// XM_001133074,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 4 transcripts. // true // Matching Probes // A,transmembrane protein 106A /// similar to transmembrane protein 106A
1552278_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.343553.1,"gb:NM_080669.1 /DB_XREF=gi:18087846 /TID=Hs2.343553.1 /CNT=39 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=113235 /UG_GENE=MGC9564 /UG=Hs.343553 /UG_TITLE=similar to RIKEN cDNA 1110002C08 gene /DEF=Homo sapiens similar to RIKEN cDNA 1110002C08 gene (MGC9564), mRNA. /FL=gb:BC010691.1 gb:NM_080669.1",NM_080669,Hs.343553,Hs.446689,March 2006 (NCBI Build 36.1),chr17:23746821-23757346 (-) // 92.12 // q11.2,SLC46A1,chr17q11.2,full length,ENSG00000076351,113235,---,---,NP_542400.2,NM_080669,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"solute carrier family 46, member 1"
1552279_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.343553.1,gb:AK074161.1 /DB_XREF=gi:18676669 /TID=Hs2.343553.1 /CNT=39 /FEA=FLmRNA /TIER=ConsEnd /STK=0 /LL=113235 /UG_GENE=MGC9564 /UG=Hs.343553 /UG_TITLE=similar to RIKEN cDNA 1110002C08 gene /DEF=Homo sapiens mRNA for FLJ00234 protein. /FL=gb:BC010691.1 gb:NM_080669.1,AK074161,Hs.343553,Hs.446689,March 2006 (NCBI Build 36.1),chr17:23746821-23757346 (-) // 92.12 // q11.2,SLC46A1,chr17q11.2,full length,---,113235,---,---,NP_542400.2,NM_080669,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"solute carrier family 46, member 1"
1552280_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.334907.1,"gb:NM_138379.1 /DB_XREF=gi:19923904 /TID=Hs2.334907.1 /CNT=19 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=91937 /UG_GENE=LOC91937 /UG=Hs.334907 /UG_TITLE=hypothetical protein BC008988 /DEF=Homo sapiens hypothetical protein BC008988 (LOC91937), mRNA. /FL=gb:BC008988.1 gb:NM_138379.1",NM_138379,Hs.334907,Hs.334907,March 2006 (NCBI Build 36.1),chr5:156278870-156322844 (-) // 97.23 // q33.3,TIMD4,chr5q33.3,full length,---,91937,---,610096,NP_612388.1,NM_138379,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,T-cell immunoglobulin and mucin domain containing 4
1552281_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.32699.1,"gb:NM_173596.1 /DB_XREF=gi:27734776 /TID=Hs2.32699.1 /CNT=27 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=283375 /UG_GENE=MGC34778 /UG=Hs.32699 /UG_TITLE=hypothetical protein MGC34778 /DEF=Homo sapiens hypothetical protein MGC34778 (MGC34778), mRNA. /FL=gb:NM_173596.1 gb:BC027884.1",NM_173596,Hs.32699,Hs.591018,March 2006 (NCBI Build 36.1),chr12:54910829-54917897 (+) // 93.78 // q13.2,SLC39A5,chr12q13.2,full length,ENSG00000139540,283375,---,608730,NP_775867.1,NM_173596,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,"solute carrier family 39 (metal ion transporter), member 5"
1552283_s_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.321609.1,"gb:NM_024786.1 /DB_XREF=gi:13376149 /TID=Hs2.321609.1 /CNT=22 /FEA=FLmRNA /TIER=FL+Stack /STK=11 /LL=79844 /UG_GENE=ZDHHC11 /UG=Hs.321609 /UG_TITLE=zinc finger, DHHC domain containing 11 /DEF=Homo sapiens zinc finger, DHHC domain containing 11 (ZDHHC11), mRNA. /FL=gb:BC032000.1 gb:NM_024786.1",NM_024786,Hs.321609,Hs.659832,March 2006 (NCBI Build 36.1),chr5:848719-904101 (-) // 95.97 // p15.33,ZDHHC11,chr5p15.33,full length,---,79844,---,---,NP_079062.1 /// XP_001129218.1,NM_024786 /// XM_001129218,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,"zinc finger, DHHC-type containing 11"
